ANIO,MES,NSELV,UBIGEO,Parentesco_con_jefe_hogar,sexo,edad,idioma_ninez,nivel_educativo,centro_estudios_E_P
2020,1,140,240101,1,1,75,4,5,
2020,1,140,240101,2,2,85,4,3,
2020,1,140,240101,5,1,31,4,10,
2020,1,140,240101,1,1,52,4,9,
2020,1,140,240101,2,2,45,4,9,
2020,1,140,240101,3,2,22,4,6,
2020,1,140,240101,3,1,10,4,3,2
2020,1,154,240101,1,1,41,4,6,
2020,1,154,240101,2,2,34,4,6,
2020,1,154,240101,3,1,15,4,5,1
2020,1,154,240101,3,1,11,4,3,1
2020,1,154,240101,3,2,9,4,3,1
2019,12,11,240101,1,1,64,4,5,
2019,12,11,240101,2,2,60,4,6,
2019,12,11,240101,3,2,22,4,10,2
2019,12,11,240101,3,,,,,
2019,12,27,240101,1,1,60,4,6,
2019,12,41,240101,1,1,58,4,9,
2019,12,70,240101,1,1,64,4,8,
2019,12,70,240101,2,2,38,4,6,
2019,12,70,240101,3,2,12,4,4,1
2019,12,70,240101,3,2,9,4,3,1
2019,12,154,240101,1,2,89,4,3,
2019,12,154,240101,3,1,54,4,5,
2019,12,154,240101,3,2,69,4,6,
2019,12,154,240101,5,2,37,4,4,
2019,12,154,240101,3,1,67,4,9,
2019,9,45,240101,1,1,55,,11,
2019,9,45,240101,2,2,54,,9,
2019,9,70,240101,1,1,31,,12,2
2019,9,70,240101,2,2,26,,6,
2019,9,70,240101,3,2,2,,,
2019,9,70,240101,7,2,18,,10,2
2019,9,70,240101,7,1,14,,5,2
2019,9,82,240101,1,2,59,,6,
2019,9,82,240101,7,1,59,,1,
2019,9,82,240101,3,,,,,
2019,9,82,240101,4,,,,,
2019,9,139,240101,1,1,65,,12,
2019,10,20,240101,1,2,43,4,6,
2019,10,33,240101,1,1,53,4,4,
2019,10,33,240101,2,2,56,4,4,
2019,10,33,240101,3,1,22,4,8,1
2019,10,33,240101,11,,,,,
2019,10,45,240101,1,2,36,4,5,
2019,10,45,240101,3,1,15,4,5,1
2019,10,45,240101,3,2,13,4,5,1
2019,10,45,240101,3,2,9,4,3,1
2019,10,67,240101,1,2,45,4,6,
2019,10,67,240101,3,1,18,4,5,1
2019,10,67,240101,3,1,15,4,4,1
2019,10,67,240101,3,1,12,4,3,1
2019,10,78,240101,1,2,55,4,3,
2019,10,78,240101,3,2,25,4,8,2
2019,10,78,240101,4,1,30,4,8,2
2019,10,78,240101,5,2,6,4,2,1
2019,10,78,240101,5,,,,,
2019,10,78,240101,11,,,,,
2019,10,78,240101,8,,,,,
2019,10,100,240101,1,1,44,4,6,
2019,10,100,240101,2,2,41,4,9,
2019,10,100,240101,3,2,15,4,5,1
2019,8,24,240101,1,2,61,,4,
2019,8,38,240101,1,1,45,,11,
2019,8,38,240101,2,2,40,,10,
2019,8,38,240101,3,1,12,,3,2
2019,8,38,240101,3,1,9,,3,2
2019,8,62,240101,1,2,83,,3,
2019,8,62,240101,3,1,59,,11,
2019,8,62,240101,3,,,,,
2019,8,62,240101,5,,,,,
2019,8,88,240101,1,2,38,,9,
2019,8,88,240101,2,1,31,,5,
2019,8,88,240101,3,1,12,,4,1
2019,8,88,240101,3,2,2,,,
2019,8,8,240101,1,1,72,,6,
2019,8,8,240101,2,2,60,,6,
2019,8,8,240101,5,1,7,,3,2
2019,8,8,240101,5,2,4,,2,2
2019,8,8,240101,1,2,45,,11,
2019,8,8,240101,2,1,49,,9,
2019,8,8,240101,3,1,23,,11,
2019,8,59,240101,1,2,65,,9,
2019,8,59,240101,3,2,26,,10,
2019,8,59,240101,5,2,7,,2,2
2019,8,59,240101,5,1,,,,
2019,8,128,240101,1,2,66,,3,
2019,8,128,240101,3,1,37,,9,
2019,8,194,240101,1,2,74,,9,
2019,8,194,240101,3,2,42,,9,
2020,1,8,240101,1,2,63,4,9,
2020,1,8,240101,1,1,58,4,9,
2020,1,8,240101,2,2,55,4,9,
2020,1,8,240101,3,2,15,4,5,2
2020,1,41,240101,1,2,66,4,9,
2020,1,41,240101,7,1,58,4,6,
2020,1,41,240101,1,1,62,4,4,
2020,1,58,240101,1,1,50,4,11,
2020,1,58,240101,2,2,48,4,11,
2020,1,58,240101,3,2,21,4,11,2
2020,1,129,240101,1,2,41,4,12,
2020,1,129,240101,3,1,13,4,5,2
2020,1,129,240101,3,1,9,4,3,2
2020,1,146,240101,1,1,60,4,6,
2020,1,146,240101,3,2,27,4,9,
2020,1,146,240101,4,1,26,4,8,
2020,1,146,240101,5,2,7,4,3,1
2020,1,146,240101,5,2,6,4,2,1
2020,1,185,240101,1,1,56,4,6,
2020,1,185,240101,2,2,55,4,12,
2020,1,185,240101,3,2,10,4,3,2
2020,1,185,240101,11,1,76,4,8,
2019,10,4,240101,1,2,76,4,10,
2019,10,4,240101,3,2,41,4,9,
2019,10,4,240101,5,2,22,4,9,
2019,10,25,240101,1,2,85,4,3,
2019,10,25,240101,3,2,52,4,6,
2019,10,25,240101,3,1,62,4,3,
2019,10,25,240101,5,1,30,4,3,
2019,10,25,240101,3,2,58,4,5,
2019,10,25,240101,5,,,,,
2019,10,36,240101,1,2,75,4,4,
2019,10,36,240101,3,1,53,4,5,
2019,10,36,240101,3,1,51,4,5,
2019,10,36,240101,3,1,49,4,9,
2019,10,46,240101,1,2,89,4,3,
2019,10,46,240101,3,2,59,4,9,
2019,10,105,240101,1,1,59,4,11,
2019,10,105,240101,2,2,58,4,6,
2019,10,117,240101,1,2,73,4,6,
2019,12,25,240101,1,2,65,4,9,
2019,12,25,240101,3,2,26,4,11,
2019,12,25,240101,3,1,24,4,11,
2019,12,40,240101,1,1,21,4,11,
2019,12,56,240101,1,1,58,4,9,
2019,12,56,240101,2,2,57,4,9,
2019,12,69,240101,1,2,31,4,12,
2019,12,69,240101,2,1,26,4,10,
2019,12,69,240101,3,2,11,4,3,2
2019,12,69,240101,3,2,3,4,1,2
2019,12,69,240101,3,2,1,,,
2019,12,125,240101,1,1,70,4,9,
2019,12,125,240101,2,2,69,4,9,
2019,7,15,240101,1,1,81,,9,
2019,7,15,240101,3,2,42,,6,
2019,7,15,240101,5,1,22,,6,
2019,7,15,240101,5,2,9,,3,1
2019,7,26,240101,1,1,49,,9,
2019,7,37,240101,1,1,92,,11,
2019,7,37,240101,2,2,86,,6,
2019,7,37,240101,11,1,42,,4,
2019,7,49,240101,1,1,86,,4,
2019,7,49,240101,3,1,54,,12,
2019,7,49,240101,4,2,50,,12,
2019,7,49,240101,5,2,18,,10,2
2019,7,49,240101,5,1,13,,5,2
2019,7,49,240101,5,1,12,,3,1
2019,7,60,240101,1,1,42,,9,
2019,7,60,240101,3,1,20,,10,2
2019,7,83,240101,1,2,27,,11,
2019,6,7,240101,1,2,62,,6,
2019,6,7,240101,5,2,16,,5,2
2019,6,70,240101,1,1,68,,6,
2019,6,70,240101,7,2,85,,6,
2019,6,71,240101,1,1,39,,11,
2019,6,71,240101,2,2,39,,11,
2019,6,71,240101,3,2,10,,3,2
2019,6,95,240101,1,2,32,,9,
2020,1,8,240101,1,2,86,4,4,
2020,1,8,240101,3,1,60,4,12,
2020,1,8,240101,4,2,38,4,10,
2020,1,8,240101,5,1,12,4,4,2
2020,1,8,240101,5,1,5,4,2,2
2020,1,36,240101,1,1,60,4,4,
2020,1,36,240101,2,2,50,4,4,
2020,1,80,240101,1,2,85,4,9,
2020,1,80,240101,5,2,10,4,3,
2020,1,91,240101,1,1,22,4,9,
2020,1,91,240101,8,2,23,4,6,
2019,10,17,240101,1,1,104,4,9,
2019,10,17,240101,2,2,96,4,9,
2019,10,45,240101,1,1,56,4,1,
2019,10,45,240101,2,2,74,4,1,
2019,10,45,240101,3,1,35,4,6,
2019,10,45,240101,3,2,36,4,6,
2019,10,45,240101,5,1,6,4,2,1
2019,10,111,240101,1,2,73,4,9,
2019,10,125,240101,1,1,77,4,6,
2019,10,125,240101,2,2,75,4,9,
2019,10,125,240101,1,1,44,4,12,
2019,10,125,240101,2,2,38,4,11,
2019,10,125,240101,3,2,7,4,3,2
2019,10,125,240101,3,1,,,,
2019,10,153,240101,1,1,61,4,5,
2019,10,153,240101,2,2,59,4,6,
2019,10,153,240101,3,1,19,4,8,1
2019,10,153,240101,11,2,96,4,3,
2019,10,169,240101,1,1,67,4,10,
2019,6,19,240101,1,2,46,,11,
2019,6,31,240101,1,2,80,,3,
2019,6,31,240101,3,2,46,,8,
2019,6,42,240101,1,1,50,,8,
2019,6,55,240101,1,2,54,,6,
2019,6,67,240101,1,1,58,,9,
2019,6,67,240101,2,2,63,,11,
2019,6,67,240101,3,1,27,,6,
2019,6,67,240101,3,2,22,,11,
2019,6,135,240101,1,2,79,,9,
2019,6,135,240101,3,2,47,,9,
2019,9,7,240101,1,1,68,4,5,
2019,9,7,240101,2,2,60,4,6,
2019,9,18,240101,1,1,42,4,12,
2019,9,30,240101,1,2,50,4,5,
2019,9,30,240101,2,1,44,4,6,
2019,9,30,240101,3,1,13,4,4,1
2019,9,30,240101,3,2,10,4,3,1
2019,9,53,240101,1,1,45,4,9,
2019,9,53,240101,2,2,40,4,9,
2019,9,53,240101,3,1,16,4,5,1
2019,9,53,240101,3,2,9,4,3,1
2019,9,80,240101,1,2,76,4,5,
2019,9,102,240101,1,1,53,4,6,
2019,9,102,240101,2,2,50,4,11,
2019,9,102,240101,3,1,16,4,5,2
2019,8,42,240101,1,1,75,,3,
2019,8,42,240101,2,2,78,,1,
